Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
11356,2019-01-07 17:55:30,676245600876,fraud_Erdman-Ebert,personal_care,37.19,Ashley,Blanchard,F,292 Lowe Dam Suite 858,West Palm Beach,FL,33417,26.7197,-80.1248,459921,Historic buildings inspector/conservation officer,1960-06-14,6a48ddfd0b475d573a87bf77361337f0,1325958930,27.235855,-81.090625,0.0
26543,2019-01-16 01:03:10,30290551782700,"fraud_Goyette, Howell and Collier",shopping_pos,7.01,John,Clarke,M,27909 Peter Motorway,Cadiz,KY,42211,36.802,-87.8286,13422,Commissioning editor,1961-09-03,fa2fad3e867e66dc6a6e34b939b3ac69,1326675790,36.637273,-87.637364,0.0
2445,2019-01-02 00:53:04,180056173248083,fraud_Murray-Smitham,grocery_pos,69.76,Larry,Warner,M,145 Jeffrey Key Suite 668,Lakeview,MI,48850,43.4269,-85.2924,4474,Emergency planning/management officer,1976-01-15,251e43d3fa5c272bfefb4d5cf19d1ffe,1325465584,43.455658,-85.123592,0.0
14649,2019-01-09 06:04:06,4839043708100390,fraud_Rutherford-Mertz,grocery_pos,80.26,Meredith,Campbell,F,043 Hanson Turnpike,Hedrick,IA,52563,41.1826,-92.3097,1583,Geochemist,1999-06-28,18f16fe7aefedfaeda3d1449379b97f2,1326089046,41.889769,-92.806703,0.0
32699,2019-01-20 14:25:05,6011693194885790,fraud_Boyer PLC,misc_pos,2.04,Victoria,Fleming,F,2807 Parker Station Suite 080,Stanchfield,MN,55080,45.6675,-93.2433,2607,"Lecturer, further education",1995-12-04,b3d7ce577c0416a3dd23a4b27b90d971,1327069505,44.805443,-93.499447,0.0
8087,2019-01-06 06:21:03,4670613943676271,fraud_Haley Group,misc_pos,5.17,Bianca,Novak,F,0953 David Skyway,Cuthbert,GA,39840,31.7706,-84.7936,5726,Fitness centre manager,1947-08-14,8cc3f968c39dc270b54add3e4bee4df6,1325830863,31.41219,-84.453541,0.0
33748,2019-01-21 01:26:20,348379466427142,fraud_Lynch Ltd,shopping_pos,88.32,Michael,Rowe,M,7428 Martinez Flats,Melbourne,FL,32935,28.1384,-80.6524,139650,Database administrator,1957-01-23,b71c228a68b8790b35f3e1c5fce59e09,1327109180,27.173295,-81.153276,0.0
10274,2019-01-07 07:21:22,375248307838179,"fraud_Jenkins, Hauck and Friesen",gas_transport,56.61,Joshua,Mendoza,M,4215 Miranda Field Suite 326,Tallmansville,WV,26237,38.8564,-80.158,571,Accounting technician,1967-09-16,7d5f55f26119d25743f9eb0462aefabc,1325920882,39.811835,-79.517464,0.0
31389,2019-01-19 20:00:10,4939976756738216,fraud_Jast and Sons,food_dining,44.83,Michelle,Johnston,F,3531 Hamilton Highway,Roma,TX,78584,26.4215,-99.0025,18128,IT trainer,1990-11-07,52c22aa3bd6b5acbabbaaaa2befd9750,1327003210,27.268567,-99.705847,0.0
32831,2019-01-20 15:39:35,2305336922781618,"fraud_Lakin, Ferry and Beatty",food_dining,27.14,Jeffrey,Rice,M,21447 Powell Circle,Moulton,IA,52572,40.6866,-92.6833,1132,Probation officer,1961-02-14,8206b351b29faf95d5cf69c3c72b5a39,1327073975,40.787957,-92.474934,0.0
18737,2019-01-12 10:10:09,4824023901222438,"fraud_Connelly, Reichert and Fritsch",gas_transport,60.98,Christina,Nelson,F,1233 Sutton Road Suite 701,Bynum,TX,76631,31.9907,-96.9837,522,Commercial/residential surveyor,1946-03-21,d6e7fc7b9a0685787ac7dd3d951aa355,1326363009,32.896757,-97.664159,0.0
13655,2019-01-08 17:37:52,4986925034905735,"fraud_Wuckert, Wintheiser and Friesen",home,78.15,Erika,Gonzalez,F,907 Courtney Via Apt. 896,Irvine,KY,40336,37.6858,-83.9862,13061,"Editor, magazine features",1959-06-18,a4853e850c10ef1ef349bfbf5e4a030d,1326044272,37.799728,-83.530441,0.0
19868,2019-01-13 02:21:21,342952484382519,fraud_Schamberger-O'Keefe,grocery_pos,135.55,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1987-09-26,8c1d583f378435713257d29ea3ed5275,1326421281,41.291928000000006,-73.93024100000001,0.0
29924,2019-01-18 18:45:09,38199021865320,fraud_Gaylord-Powlowski,home,83.49,Jesse,Roberts,M,8415 Vaughn Squares Apt. 788,Acworth,NH,3601,43.196000000000005,-72.3001,477,Naval architect,1988-04-15,3a223476bfa9da72f63439e6ec32dc56,1326912309,44.190234,-72.553675,0.0
28805,2019-01-17 22:20:50,6011724471098086,fraud_Kerluke-Abshire,shopping_net,4.39,Ann,Lawson,F,144 Evans Islands Apt. 683,Burbank,WA,99323,46.1966,-118.9017,3684,Musician,1981-11-29,11baa9a366e5933c743edc8c4974b1c5,1326838850,45.985719,-119.077992,0.0
441,2019-01-01 05:48:32,370348764075623,fraud_Zboncak Ltd,food_dining,45.04,Christopher,Gomez,M,950 Dunn Squares,Tickfaw,LA,70466,30.5668,-90.482,8512,"Accountant, chartered public finance",1951-09-03,11b4fec912f072369826421882a5678c,1325396912,31.377997,-90.675927,0.0
31409,2019-01-19 20:20:40,3598215285024754,"fraud_Hauck, Dietrich and Funk",kids_pets,85.09,Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21,44fd48788e984c545152b61b2501476b,1327004440,40.863058,-73.660473,0.0
27616,2019-01-16 22:54:34,6011366578560244,fraud_Boyer PLC,shopping_net,929.9,Adam,Stark,M,0912 Mark Fields Apt. 080,Mc Veytown,PA,17051,40.5046,-77.7186,4653,Nutritional therapist,1997-07-01,95f4277fff32091e2fa48358e0aa71a6,1326754474,40.375468,-77.12915,1.0
21647,2019-01-13 23:38:22,36485887555770,fraud_Maggio-Fahey,misc_pos,91.63,Michael,Gross,M,230 Ryan Tunnel Apt. 025,Fulton,OH,43321,40.4971,-82.8342,267,Facilities manager,2005-01-29,118e891294f4f0dfaba8af96e795f702,1326497902,39.770683,-83.581261,0.0
13902,2019-01-08 19:41:20,3595192916105588,"fraud_Konopelski, Schneider and Hartmann",food_dining,9.57,Dustin,Roberts,M,3283 James Station,Fayetteville,NC,28314,35.0583,-79.008,238602,"Scientist, research (maths)",1993-05-14,357620281d145bc06efcaa3fee2b5f43,1326051680,35.457815999999994,-78.612277,0.0
1731,2019-01-01 18:21:36,2235613922823698,"fraud_Welch, Rath and Koepp",entertainment,30.22,Melissa,Mcclure,F,2027 Snyder Track,Manville,WY,82227,42.73,-104.7024,241,Educational psychologist,1980-12-16,fbe5c5c2784841f1103629883158df3e,1325442096,42.963347,-104.914279,0.0
13214,2019-01-08 13:38:12,4220345354880,fraud_Kris-Kertzmann,travel,2.2,Patrick,Torres,M,27386 Snyder Station,Oxford,MI,48371,42.8223,-83.2829,24840,Agricultural consultant,1960-01-20,6ef08628a1c338e8128240086be2fa56,1326029892,43.738863,-82.62018499999999,0.0
25746,2019-01-15 18:00:26,3593118134380341,fraud_Erdman-Durgan,health_fitness,59.7,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,1959-05-10,aef162110a789329f2a0ad641e7c4875,1326650426,44.624691,-67.885122,0.0
13326,2019-01-08 14:36:17,30434173205605,"fraud_Windler, Goodwin and Kovacek",home,152.9,Kylie,Kirby,F,79816 Jackson Squares,Shedd,OR,97377,44.453,-123.1065,917,Radio broadcast assistant,1995-07-08,dd9a4835b5c85eeeed749c04c4752b0c,1326033377,44.956897,-122.205274,0.0
15714,2019-01-10 03:53:09,3597926034019603,fraud_Block-Parisian,misc_net,4.64,Derrick,Flores,M,83690 Nicholas Ports Apt. 846,Oakland,TN,38060,35.2229,-89.5518,9496,Furniture conservator/restorer,1993-03-23,db72a63b11e93a403fb936d430853c0e,1326167589,35.436546,-89.45272800000001,0.0
15755,2019-01-10 04:48:13,3587960728692500,fraud_Kilback LLC,grocery_pos,111.8,Kathy,Hughes,F,02110 Lucas Freeway Suite 517,Battle Creek,IA,51006,42.3327,-95.6045,1075,"Teacher, early years/pre",1997-01-02,f84f11b580275c72a1958e28522e3280,1326170893,42.744924,-95.869529,0.0
34702,2019-01-21 13:08:15,676148621961,fraud_Klein Group,entertainment,42.94,Jennifer,Vega,F,91644 Crystal Drives,Eagarville,IL,62023,39.1118,-89.7855,91,Materials engineer,1962-11-18,d94dfde8995c3fba5a73fe6ba8dd9240,1327151295,39.658285,-89.973033,0.0
1668,2019-01-01 17:47:36,3552581383553463,"fraud_Durgan, Gislason and Spencer",home,22.67,Jonathan,Castro,M,200 Christie Mills Apt. 307,Andrews,NC,28901,35.1959,-83.8228,5354,Retail buyer,1965-04-13,6f7dd9c6b0c9448d112cdb903fa4fcd0,1325440056,34.258168,-83.595836,0.0
34338,2019-01-21 08:54:11,4292902571056973207,fraud_Roob LLC,grocery_net,26.49,Jeffrey,Smith,M,135 Joseph Mountains,Sula,MT,59871,45.8433,-113.8748,218,"Therapist, horticultural",1995-08-16,9b2278bec8a09438ef579ace796ed007,1327136051,45.761535,-113.52044,0.0
16716,2019-01-10 22:10:38,676118385837,fraud_Skiles LLC,home,10.79,Katelyn,Wise,F,674 Maureen Summit Apt. 276,Scotts Mills,OR,97375,44.9897,-122.6187,1252,"Engineer, petroleum",1937-02-06,6d1eb8ef59e207d484b04e32fc9f6841,1326233438,45.050035,-121.666468,0.0
5325,2019-01-04 12:01:04,30029052116970,"fraud_Bahringer, Osinski and Block",food_dining,1.96,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,9e4d285313d0919df31fac9831b91c32,1325678464,41.564532,-78.53101600000001,0.0
273,2019-01-01 03:31:41,213195754007681,"fraud_Raynor, Reinger and Hagenes",gas_transport,58.23,Zachary,Allen,M,69252 Oconnor Alley Apt. 153,Ollie,IA,52576,41.2001,-92.1354,568,Commercial horticulturist,1969-07-24,6df236b00882921a77417b1345751fc1,1325388701,41.809397,-92.775454,0.0
27358,2019-01-16 18:05:10,36722699017270,"fraud_Reichert, Huels and Hoppe",shopping_net,9.18,Jessica,Perez,F,8172 Robertson Parkways Suite 072,Superior,AZ,85173,33.2887,-111.0985,2872,Petroleum engineer,1987-10-28,6596c4553a24146ad5d47399e14ef7c0,1326737110,34.19072,-111.79403700000002,0.0
24581,2019-01-15 06:09:00,4239552724014407,fraud_Kilback LLC,grocery_pos,120.86,Carl,Hernandez,M,9134 Darryl Flat Suite 916,Paulding,OH,45879,41.141000000000005,-84.5722,6284,Secondary school teacher,1936-03-27,e47aac943c29e6ef805774226e0f7719,1326607740,40.178089,-83.934863,0.0
9038,2019-01-06 17:46:19,4292902571056973207,"fraud_Johnson, Runolfsdottir and Mayer",misc_net,121.92,Jeffrey,Smith,M,135 Joseph Mountains,Sula,MT,59871,45.8433,-113.8748,218,"Therapist, horticultural",1995-08-16,e50c627016c746fc95b06275529b1c2b,1325871979,46.293002,-114.769281,0.0
17597,2019-01-11 14:30:56,571365235126,"fraud_Cormier, Stracke and Thiel",entertainment,159.63,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,4f9735d342771674051e615cf108075a,1326292256,44.386388,-85.809003,0.0
24899,2019-01-15 10:13:46,6011348830550197,fraud_Huels-Hahn,gas_transport,101.29,Samuel,Johnston,M,16285 Jessica Lights,Birmingham,AL,35229,33.4629,-86.7904,493806,Musician,1980-07-12,4b8d0b3350f30cfc72f63ff1c400ddac,1326622426,33.767317,-86.498694,0.0
32560,2019-01-20 13:00:15,3551512895305309,"fraud_McCullough, Hudson and Schuster",food_dining,70.25,Erika,Anderson,F,3786 Hale Corners,Rochester,KY,42273,37.2048,-86.8592,443,"Development worker, international aid",1947-07-15,805ec29d899825a97bd54182beca129e,1327064415,36.635166,-86.25023900000001,0.0
7033,2019-01-05 15:45:26,5540636818935089,fraud_Collier LLC,home,19.35,Kenneth,Foster,M,329 Michael Extension,Lawrence,MA,1843,42.6911,-71.1605,76383,Geoscientist,1985-04-04,d1c613cbe233a0993459f272098e900e,1325778326,42.616838,-71.02395,0.0
20377,2019-01-13 09:47:18,4423489490781412,"fraud_Baumbach, Strosin and Nicolas",shopping_pos,1.67,Christopher,Ortega,M,5045 Emily Wall,Princeton,IA,52768,41.6858,-90.3706,1426,Agricultural consultant,1957-03-06,3f3089c953eaf5afd565d53afb4228dd,1326448038,41.940293,-91.22492,0.0
18435,2019-01-12 04:03:13,4045036286570100739,fraud_Cartwright-Harris,grocery_pos,86.91,Bianca,Scott,F,9588 Cox Rapid Apt. 257,Atglen,PA,19310,39.9458,-75.9703,3066,Product manager,1928-07-15,6ddc8b88b746f35c8b84d0a7fb031fd2,1326340993,39.260354,-75.987723,0.0
13814,2019-01-08 18:58:14,3598304579370089,fraud_Kertzmann LLC,health_fitness,20.37,Vincent,Flowers,M,0189 Emily Prairie,Wichita,KS,67232,37.6395,-97.1714,409656,Heritage manager,1985-12-27,5587c0ccbbba806e031ef86b3f9f8701,1326049094,37.720355,-97.423745,0.0
12285,2019-01-08 02:25:12,4226219726886852999,"fraud_Herman, Treutel and Dickens",misc_net,1.52,Jessica,Bell,F,669 Moore Shoal,Bethel,OH,45106,38.9424,-84.09200000000001,12349,Field trials officer,1985-07-08,249aa262671b4db4bc3131f154ce6b49,1325989512,39.362216,-83.30671,0.0
18808,2019-01-12 11:46:21,372246459334925,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,152.95,Rick,Martinez,M,062 Poole Hollow Apt. 815,Deadwood,SD,57732,44.3566,-103.6999,1979,Multimedia programmer,1970-03-13,8bea766b174765222902f9ab14e35ff0,1326368781,45.057434,-104.504431,0.0
13498,2019-01-08 16:17:07,4181833256558613886,fraud_Christiansen-Gusikowski,misc_pos,2.4,Jessica,Potter,F,7600 Stephen Course Suite 031,Red River,NM,87558,36.6659,-105.4694,606,"Surveyor, land/geomatics",1988-09-06,b63cf5dfe25db6da14a0b3d2e0b13c31,1326039427,36.000487,-106.280104,0.0
70,2019-01-01 00:50:53,4512828414983801773,fraud_Jaskolski-Dibbert,grocery_net,16.16,Monica,Cohen,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Tree surgeon,1983-07-25,514a1b5251ca91aeab8994cf6253f04b,1325379053,39.222743,-78.839099,0.0
18900,2019-01-12 13:19:42,639046421587,fraud_O'Hara-Wilderman,food_dining,57.72,Dylan,Bonilla,M,2497 John Motorway Suite 922,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",1986-06-20,40fca6e8906e60a1fd3d951fe685c095,1326374382,40.263419,-81.101626,0.0
25959,2019-01-15 19:43:46,4560004149983868183,fraud_Lynch-Wisozk,home,16.54,Stacy,Villegas,F,20581 Pena Walks,Colorado Springs,CO,80951,38.8881,-104.6556,525713,Museum/gallery exhibitions officer,1992-05-09,08966619d101d2921649edf29283321e,1326656626,38.707023,-104.167571,0.0
30701,2019-01-19 08:56:37,2266735643685262,fraud_Lockman Ltd,grocery_pos,51.29,Carlos,Chung,M,8957 Russell Key,Grant,AL,35747,34.4959,-86.259,5901,Curator,1972-07-25,babbc194178d34ffa6cb2b87ca7fb55a,1326963397,35.129634,-85.34467099999999,0.0
20265,2019-01-13 08:06:25,213154573301411,fraud_Schmitt Inc,gas_transport,66.12,Christopher,Sheppard,M,39218 Baker Shoals,Bristow,IN,47515,38.1981,-86.6821,965,Horticultural therapist,1982-02-10,01982d1566bb809ccba7ef102b5cb442,1326441985,38.154704,-86.372976,0.0
23757,2019-01-14 20:58:14,2235613922823698,fraud_Ruecker-Mayert,kids_pets,90.7,Melissa,Mcclure,F,2027 Snyder Track,Manville,WY,82227,42.73,-104.7024,241,Educational psychologist,1980-12-16,bfe0ef2192b562e6e16c1507aa9de2e2,1326574694,42.800543,-105.359729,0.0
32436,2019-01-20 11:37:02,341542810616333,"fraud_Ferry, Lynch and Kautzer",misc_net,16.99,Billy,Mcdonald,M,304 Ryan Port Suite 335,Camden,MO,64017,39.2048,-94.0259,464,Colour technologist,1959-05-28,43914ed0ec79491a79bbdf940ca85ba5,1327059422,38.885336,-94.739773,0.0
25828,2019-01-15 18:41:47,30150717898388,fraud_Kassulke Inc,entertainment,24.09,Raymond,Lloyd,M,5930 Rebecca Bridge Apt. 444,Paint Rock,AL,35764,34.7031,-86.3068,653,Paediatric nurse,1966-06-19,75d78454c6a9306e1375b4d1b07f7273,1326652907,34.944419,-86.460531,0.0
23875,2019-01-14 21:49:01,3598304579370089,fraud_Wiza LLC,misc_pos,4.87,Vincent,Flowers,M,0189 Emily Prairie,Wichita,KS,67232,37.6395,-97.1714,409656,Heritage manager,1985-12-27,becc6c94ee41e4bd78e1f113d9689a3c,1326577741,38.609221000000005,-97.457007,0.0
16088,2019-01-10 13:09:37,3528231451607350,fraud_Monahan-Morar,personal_care,48.44,Lauren,Moreno,F,83719 Wilson Shore,Heislerville,NJ,8324,39.224,-74.9942,526,Exercise physiologist,1940-09-06,41f413babcee677789b3213266b9de98,1326200977,39.423682,-75.73230600000001,0.0
29696,2019-01-18 15:17:27,6011399591920186,fraud_Padberg-Rogahn,entertainment,144.3,Maria,Roy,F,58665 Nicholas Ford Suite 348,Sheffield,MA,1257,42.1001,-73.3611,2121,Radio producer,1973-10-14,be6056312035be792e6b88cfff6a5b38,1326899847,42.428528,-73.68203299999999,0.0
32631,2019-01-20 13:42:37,3561212938177173,fraud_Gottlieb-Hansen,personal_care,112.24,Jose,Campbell,M,550 Cunningham Squares,Dadeville,AL,36853,32.8224,-85.7704,8269,Minerals surveyor,1977-01-04,139cf1fe3cb4611c8083f23cc079aff1,1327066957,32.857375,-86.042965,0.0
1157,2019-01-01 13:57:13,630469040731,"fraud_Wuckert, Wintheiser and Friesen",home,3.12,Meredith,Ayala,F,7107 Henderson Station,Cascade Locks,OR,97014,45.67100000000001,-121.8686,1288,Barrister,1936-05-01,05cb02dc6af1102556fbcbe923e68695,1325426233,44.862493,-121.787626,0.0
18438,2019-01-12 04:05:27,4070511711385545,fraud_Dooley Inc,shopping_pos,3.67,Stephanie,Hopkins,F,44089 Carrie Crossing Suite 954,Falls City,TX,78113,28.9814,-98.0156,2435,"Engineer, mining",1967-04-09,11b70d8e8aa12d4ec8dd555049b92f14,1326341127,28.986967,-98.813292,0.0
8124,2019-01-06 06:50:44,3572976568630035,fraud_Kerluke-Abshire,shopping_net,1.83,William,Lopez,M,785 Kevin Walk Suite 237,Brainard,NE,68626,41.1832,-96.9882,614,Associate Professor,1967-06-20,76df5ffeb84d7b57ad5818947e77df1f,1325832644,40.411725,-97.142743,0.0
